Stream,Source,Time,C,N
QPB,LeafLitter,Feb,-30.295,2.677
QPB,LeafLitter,Feb,-30.303,1.867
QPB,LeafLitter,Feb,-30.357,2.593
QPB,LeafLitter,Feb,-30.247,1.42
QPB,LeafLitter,Nov,-32.2,-0.482
QPB,LeafLitter,Nov,-32.068,-0.24
QPB,LeafLitter,Nov,-32.413,-0.594
QPB,LeafLitter,Nov,-32.375,-0.54
QPB,LeafLitter,Jun,-30.424,0.678
QPB,LeafLitter,Jun,-30.745,0.551
QPB,LeafLitter,Jun,-30.212,0.69
QPB,LeafLitter,Jun,-30.396,0.387
QPB,Algae,Feb,-34.422,4.747
QPB,Algae,Feb,-34.532,5.284
QPB,Algae,Feb,-34.156,4.877
QPB,Algae,Feb,-34.37,4.79
QPB,Algae,Nov,-27.507,2.607
QPB,Algae,Nov,-27.395,2.519
QPB,Algae,Nov,-27.466,2.68
QPB,Algae,Nov,-27.439,2.171
QPB,Algae,Jun,-28.439,5.157
QPB,Algae,Jun,-29.73,7.502
QPB,Algae,Jun,-28.607,5.032
QPB,Algae,Jun,-28.125,5.284
